RBP_motif_ID	RBP_name	Motif_type	Organism	Gene_ID	Function_IDs	Reference	Experiment	Comments
A1CF_1	A1CF	meme_xml	human	ENSG00000148584	RM;RSD;RE	31724725;10669759	RBNS_ENCODE;RBPDB	-
A1CF_2	A1CF	meme_xml	human	ENSG00000148584	RM;RSD;RE	31724725	RBNS_ENCODE	-
ACIN1_1	ACIN1	meme_xml	human	ENSG00000100813	-	27365209	iCLIP	-
ACIN1_2	ACIN1	meme_xml	human	ENSG00000100813	-	27365209	iCLIP	-
ACO1_1	ACO1	meme_xml	human	ENSG00000122729	RSD;TR	8021254	cisBP-RNA	-
ADAR_1	ADAR	meme_xml	human	ENSG00000160710	SR;RM	25708366	iCLIP	-
ADAR_2	ADAR	meme_xml	human	ENSG00000160710	SR;RM	25708366	iCLIP	-
ADAR_3	ADAR	meme_xml	human	ENSG00000160710	SR;RM	25708366	iCLIP	-
ADAR_4	ADAR	meme_xml	human	ENSG00000160710	SR;RM	25708366	iCLIP	-
AGGF1_1	AGGF1	meme_xml	human	ENSG00000164252	-	31226278	eCLIP_ENCODE	-
AGGF1_2	AGGF1	meme_xml	human	ENSG00000164252	-	31226278	eCLIP_ENCODE	-
AKAP1_1	AKAP1	meme_xml	human	ENSG00000121057	RL;TR;MTR;VRR	17154535	RBPDB	-
AKAP8_1	AKAP8	meme_xml	human	ENSG00000105127	-	31980632	eCLIP	-
ANKHD1_1	ANKHD1	meme_xml	human	ENSG00000131503	-	23846655	RNAcompete	-
AUH_1	AUH	meme_xml	human	ENSG00000148090	RSD;TR;MTR	31226278	eCLIP_ENCODE	-
AUH_2	AUH	meme_xml	human	ENSG00000148090	RSD;TR;MTR	31226278	eCLIP_ENCODE	-
BCCIP_1	BCCIP	meme_xml	human	ENSG00000107949	-	31226278	eCLIP_ENCODE	-
BOLL_1	BOLL	meme_xml	human	ENSG00000152430	TR	31724725	RBNS_ENCODE	-
BOLL_2	BOLL	meme_xml	human	ENSG00000152430	TR	31724725	RBNS_ENCODE	-
BOLL_3	BOLL	meme_xml	human	ENSG00000152430	TR	31724725	RBNS_ENCODE	-
BUD13_1	BUD13	meme_xml	human	ENSG00000137656	SR;SS;RL;RE	31226278	eCLIP_ENCODE	-
BUD13_2	BUD13	meme_xml	human	ENSG00000137656	SR;SS;RL;RE	31226278	eCLIP_ENCODE	-
BUD13_3	BUD13	meme_xml	human	ENSG00000137656	SR;SS;RL;RE	31226278	eCLIP_ENCODE	-
BUD13_4	BUD13	meme_xml	human	ENSG00000137656	SR;SS;RL;RE	31226278	eCLIP_ENCODE	-
CAPRIN1_1	CAPRIN1	meme_xml	human	ENSG00000135387	-	24393468	PAR-CLIP	-
CBX7_1	CBX7	meme_xml	human	ENSG00000100307	-	29073373	dCLIP	-
CDC40_1	CDC40	meme_xml	human	ENSG00000168438	SR;SS	31226278	eCLIP_ENCODE	-
CDC40_2	CDC40	meme_xml	human	ENSG00000168438	SR;SS	31226278	eCLIP_ENCODE	-
CELF1_1	CELF1	meme_xml	human	ENSG00000149187	SR;RSD;MRP;TR	31724725;20947024;12649496	RBNS_ENCODE;PDB;SpliceAi	-
CELF2_1	CELF2	meme_xml	human	ENSG00000048740	-	34086933	catRAPID_omics_v2.1	-
CELF2_2	CELF2	meme_xml	human	ENSG00000048740	-	15657417	SpliceAid-F	-
CELF4_1	CELF4	meme_xml	human	ENSG00000101489	-	23846655	RNAcompete	-
CELF5_1	CELF5	meme_xml	human	ENSG00000161082	-	23846655	RNAcompete	-
CELF6_1	CELF6	meme_xml	human	ENSG00000140488	-	23846655	RNAcompete	-
CNBP_1	CNBP	meme_xml	human	ENSG00000169714	-	34086933	catRAPID_omics_v2.1	-
CNBP_2	CNBP	meme_xml	human	ENSG00000169714	-	28329689	PAR-CLIP	-
CNOT4_1	CNOT4	meme_xml	human	ENSG00000080802	-	31724725	RBNS_ENCODE	-
CPEB1_1	CPEB1	meme_xml	human	ENSG00000214575	TEP;RL;TR;VRR;PSG	24990967;31724725	PDB;RBNS_ENCODE	-
CPEB2_1	CPEB2	meme_xml	human	ENSG00000137449	-	23846655	RNAcompete	-
CPEB4_1	CPEB4	meme_xml	human	ENSG00000113742	TEP;TR	24990967;23846655	PDB;cisBP-RNA	-
CPSF6_1	CPSF6	meme_xml	human	ENSG00000111605	TEP;VRR	31226278	eCLIP_ENCODE	-
CPSF7_1	CPSF7	meme_xml	human	ENSG00000149532	TEP	22813749	PAR-CLIP	-
CSTF2_1	CSTF2	meme_xml	human	ENSG00000101811	TEP	22813749	PAR-CLIP	-
