RBP_motif_ID	RBP_name	Motif_type	Organism	Gene_ID	Function_IDs	Reference	Experiment	Comments
A1CF_1	A1CF	meme_xml	human	ENSG00000148584	RM;RSD;RE	34086933	-	-
A1CF_2	A1CF	meme_xml	human	ENSG00000148584	RM;RSD;RE	34086933	-	-
ACIN1_1	ACIN1	meme_xml	human	ENSG00000100813	-	34086933	-	-
ACIN1_2	ACIN1	meme_xml	human	ENSG00000100813	-	34086933	-	-
ACO1_1	ACO1	meme_xml	human	ENSG00000122729	RSD;TR	34086933	-	-
ADAR_1	ADAR	meme_xml	human	ENSG00000160710	SR;RM	34086933	-	-
ADAR_2	ADAR	meme_xml	human	ENSG00000160710	SR;RM	34086933	-	-
ADAR_3	ADAR	meme_xml	human	ENSG00000160710	SR;RM	34086933	-	-
ADAR_4	ADAR	meme_xml	human	ENSG00000160710	SR;RM	34086933	-	-
AGGF1_1	AGGF1	meme_xml	human	ENSG00000164252	-	34086933	-	-
AGGF1_2	AGGF1	meme_xml	human	ENSG00000164252	-	34086933	-	-
AGO1_1	AGO1	meme_xml	human	ENSG00000092847	RSD;MRP;TR	34086933	-	-
AGO2_1	AGO2	meme_xml	human	ENSG00000123908	SR;RSD;TR	34086933	-	-
AGO2_2	AGO2	meme_xml	human	ENSG00000123908	SR;RSD;TR	34086933	-	-
AKAP1_1	AKAP1	meme_xml	human	ENSG00000121057	RL;TR;MTR;VRR	34086933	-	-
AKAP8_1	AKAP8	meme_xml	human	ENSG00000105127	-	34086933	-	-
ANKHD1_1	ANKHD1	meme_xml	human	ENSG00000131503	-	23846655	RNAcompete	-
AUH_1	AUH	meme_xml	human	ENSG00000148090	RSD;TR;MTR	34086933	-	-
AUH_2	AUH	meme_xml	human	ENSG00000148090	RSD;TR;MTR	34086933	-	-
BCCIP_1	BCCIP	meme_xml	human	ENSG00000107949	-	34086933	-	-
BOLL_1	BOLL	meme_xml	human	ENSG00000152430	TR	34086933	-	-
BOLL_2	BOLL	meme_xml	human	ENSG00000152430	TR	34086933	-	-
BOLL_3	BOLL	meme_xml	human	ENSG00000152430	TR	34086933	-	-
BUD13_1	BUD13	meme_xml	human	ENSG00000137656	SR;SS;RL;RE	34086933	-	-
BUD13_2	BUD13	meme_xml	human	ENSG00000137656	SR;SS;RL;RE	34086933	-	-
BUD13_3	BUD13	meme_xml	human	ENSG00000137656	SR;SS;RL;RE	34086933	-	-
BUD13_4	BUD13	meme_xml	human	ENSG00000137656	SR;SS;RL;RE	34086933	-	-
CAPRIN1_1	CAPRIN1	meme_xml	human	ENSG00000135387	-	34086933	-	-
CBX7_1	CBX7	meme_xml	human	ENSG00000100307	-	34086933	-	-
CDC40_1	CDC40	meme_xml	human	ENSG00000168438	SR;SS	34086933	-	-
CDC40_2	CDC40	meme_xml	human	ENSG00000168438	SR;SS	34086933	-	-
CELF1_1	CELF1	meme_xml	human	ENSG00000149187	SR;RSD;MRP;TR	34086933	-	-
CELF2_1	CELF2	meme_xml	human	ENSG00000048740	-	34086933	-	-
CELF2_2	CELF2	meme_xml	human	ENSG00000048740	-	34086933	-	-
CELF4_1	CELF4	meme_xml	human	ENSG00000101489	-	23846655	RNAcompete	-
CELF5_1	CELF5	meme_xml	human	ENSG00000161082	-	23846655	RNAcompete	-
CELF6_1	CELF6	meme_xml	human	ENSG00000140488	-	23846655	RNAcompete	-
CNBP_1	CNBP	meme_xml	human	ENSG00000169714	-	34086933	-	-
CNBP_2	CNBP	meme_xml	human	ENSG00000169714	-	34086933	-	-
CNOT4_1	CNOT4	meme_xml	human	ENSG00000080802	-	34086933	-	-
CPEB1_1	CPEB1	meme_xml	human	ENSG00000214575	TEP;RL;TR;VRR;PSG	34086933	-	-
CPEB2_1	CPEB2	meme_xml	human	ENSG00000137449	-	23846655	RNAcompete	-
CPEB4_1	CPEB4	meme_xml	human	ENSG00000113742	TEP;TR	34086933	-	-
CPSF6_1	CPSF6	meme_xml	human	ENSG00000111605	TEP;VRR	34086933	-	-
CPSF7_1	CPSF7	meme_xml	human	ENSG00000149532	TEP	34086933	-	-
CSTF2_1	CSTF2	meme_xml	human	ENSG00000101811	TEP	34086933	-	-
CSTF2_2	CSTF2	meme_xml	human	ENSG00000101811	TEP	34086933	-	-
CSTF2T_1	CSTF2T	meme_xml	human	ENSG00000177613	TEP	34086933	-	-
CSTF2T_2	CSTF2T	meme_xml	human	ENSG00000177613	TEP	34086933	-	-
DAZ3_1	DAZ3	meme_xml	human	ENSG00000187191	-	34086933	-	-
DAZ3_2	DAZ3	meme_xml	human	ENSG00000187191	-	34086933	-	-
DAZ3_3	DAZ3	meme_xml	human	ENSG00000187191	-	34086933	-	-
DAZ3_4	DAZ3	meme_xml	human	ENSG00000187191	-	34086933	-	-
DAZAP1_1	DAZAP1	meme_xml	human	ENSG00000071626	SR;TR	34086933	-	-
DAZAP1_2	DAZAP1	meme_xml	human	ENSG00000071626	SR;TR	34086933	-	-
DAZAP1_3	DAZAP1	meme_xml	human	ENSG00000071626	SR;TR	34086933	-	-
DAZAP1_4	DAZAP1	meme_xml	human	ENSG00000071626	SR;TR	34086933	-	-
DDX3X_1	DDX3X	meme_xml	human	ENSG00000215301	TR;VRR	34086933	-	-
DDX3X_2	DDX3X	meme_xml	human	ENSG00000215301	TR;VRR	34086933	-	-
DDX6_1	DDX6	meme_xml	human	ENSG00000110367	RSD;MRP;TR;VRR;PSG	34086933	-	-
DDX19B_1	DDX19B	meme_xml	human	ENSG00000157349	RE	34086933	-	-
DDX24_1	DDX24	meme_xml	human	ENSG00000089737	VRR	34086933	-	-
DDX24_2	DDX24	meme_xml	human	ENSG00000089737	VRR	34086933	-	-
DDX54_1	DDX54	meme_xml	human	ENSG00000123064	-	34086933	-	-
DDX54_2	DDX54	meme_xml	human	ENSG00000123064	-	34086933	-	-
DDX55_1	DDX55	meme_xml	human	ENSG00000111364	-	34086933	-	-
DDX55_2	DDX55	meme_xml	human	ENSG00000111364	-	34086933	-	-
DDX55_3	DDX55	meme_xml	human	ENSG00000111364	-	34086933	-	-
DDX55_4	DDX55	meme_xml	human	ENSG00000111364	-	34086933	-	-
DDX55_5	DDX55	meme_xml	human	ENSG00000111364	-	34086933	-	-
DDX55_6	DDX55	meme_xml	human	ENSG00000111364	-	34086933	-	-
DDX58_1	DDX58	meme_xml	human	ENSG00000107201	-	34086933	-	-
DDX59_1	DDX59	meme_xml	human	ENSG00000118197	-	34086933	-	-
DGCR8_1	DGCR8	meme_xml	human	ENSG00000128191	MRP	34086933	-	-
DKC1_1	DKC1	meme_xml	human	ENSG00000130826	RM;RRP;SNT	34086933	-	-
DKC1_2	DKC1	meme_xml	human	ENSG00000130826	RM;RRP;SNT	34086933	-	-
DKC1_3	DKC1	meme_xml	human	ENSG00000130826	RM;RRP;SNT	34086933	-	-
EFTUD2_1	EFTUD2	meme_xml	human	ENSG00000108883	SR;SS;VRR	34086933	-	-
EIF3D_1	EIF3D	meme_xml	human	ENSG00000100353	RBT;TR	34086933	-	-
EIF3D_2	EIF3D	meme_xml	human	ENSG00000100353	RBT;TR	34086933	-	-
EIF3D_3	EIF3D	meme_xml	human	ENSG00000100353	RBT;TR	34086933	-	-
EIF3D_4	EIF3D	meme_xml	human	ENSG00000100353	RBT;TR	34086933	-	-
EIF3D_5	EIF3D	meme_xml	human	ENSG00000100353	RBT;TR	34086933	-	-
EIF4A3_1	EIF4A3	meme_xml	human	ENSG00000141543	EJC	34086933	-	-
EIF4A3_2	EIF4A3	meme_xml	human	ENSG00000141543	EJC	34086933	-	-
EIF4A3_3	EIF4A3	meme_xml	human	ENSG00000141543	EJC	34086933	-	-
EIF4B_1	EIF4B	meme_xml	human	ENSG00000063046	RBT;TR	34086933	-	-
EIF4G2_1	EIF4G2	meme_xml	human	ENSG00000110321	RBT;TR	34086933	-	-
EIF4G2_2	EIF4G2	meme_xml	human	ENSG00000110321	RBT;TR	34086933	-	-
EIF4G2_3	EIF4G2	meme_xml	human	ENSG00000110321	RBT;TR	34086933	-	-
EIF4G2_4	EIF4G2	meme_xml	human	ENSG00000110321	RBT;TR	34086933	-	-
ELAVL1_1	ELAVL1	meme_xml	human	ENSG00000066044	RSD;TR	34086933	-	-
ELAVL1_2	ELAVL1	meme_xml	human	ENSG00000066044	RSD;TR	34086933	-	-
ELAVL1_3	ELAVL1	meme_xml	human	ENSG00000066044	RSD;TR	34086933	-	-
ELAVL1_4	ELAVL1	meme_xml	human	ENSG00000066044	RSD;TR	34086933	-	-
ELAVL2_1	ELAVL2	meme_xml	human	ENSG00000107105	RSD;TR	34086933	-	-
ELAVL2_2	ELAVL2	meme_xml	human	ENSG00000107105	RSD;TR	34086933	-	-
ELAVL2_3	ELAVL2	meme_xml	human	ENSG00000107105	RSD;TR	34086933	-	-
ELAVL2_4	ELAVL2	meme_xml	human	ENSG00000107105	RSD;TR	34086933	-	-
ELAVL3_1	ELAVL3	meme_xml	human	ENSG00000196361	RSD;TR	34086933	-	-
ELAVL3_2	ELAVL3	meme_xml	human	ENSG00000196361	RSD;TR	34086933	-	-
ELAVL3_3	ELAVL3	meme_xml	human	ENSG00000196361	RSD;TR	34086933	-	-
ELAVL4_1	ELAVL4	meme_xml	human	ENSG00000162374	RSD;RL;TR	34086933	-	-
ELAVL4_2	ELAVL4	meme_xml	human	ENSG00000162374	RSD;RL;TR	34086933	-	-
ELAVL4_3	ELAVL4	meme_xml	human	ENSG00000162374	RSD;RL;TR	34086933	-	-
ENOX1_1	ENOX1	meme_xml	human	ENSG00000120658	-	34086933	-	-
ERI1_1	ERI1	meme_xml	human	ENSG00000104626	-	34086933	-	-
ESRP1_1	ESRP1	meme_xml	human	ENSG00000104413	SR	34086933	-	-
ESRP1_2	ESRP1	meme_xml	human	ENSG00000104413	SR	34086933	-	-
ESRP1_3	ESRP1	meme_xml	human	ENSG00000104413	SR	34086933	-	-
ESRP2_1	ESRP2	meme_xml	human	ENSG00000103067	-	34086933	-	-
EWSR1_1	EWSR1	meme_xml	human	ENSG00000182944	SR	34086933	-	-
EWSR1_2	EWSR1	meme_xml	human	ENSG00000182944	SR	34086933	-	-
FAM120A_1	FAM120A	meme_xml	human	ENSG00000048828	-	34086933	-	-
FAM120A_2	FAM120A	meme_xml	human	ENSG00000048828	-	34086933	-	-
FAM120A_3	FAM120A	meme_xml	human	ENSG00000048828	-	34086933	-	-
FASTKD2_1	FASTKD2	meme_xml	human	ENSG00000118246	RRP;MTR	34086933	-	-
